moon,  7.349e+22 
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
12161250739707.99,-26224608621292.598,-567889683436.5227
