Astro: moon,  mass:  7.349e+22 
t/s  ||    (x,y,z) position/m  ||  (x,y,z) pos_com/m   ||    (x,y,z) velocity/ms^-1    ||    (x,y,z) force/N
[36000.],-26265851749.743687,144940814791.93607,14775490.063475741,-27457460063.009373,144506133625.45224,46215968.792786114,-30131.68632277443,-6251.233527369138,-63.314163284486014,2.484301397456528e+20,-5.016166577060566e+20,-1.0173272831869139e+19,-6.630183052138909e+31
[72000.],-27348378226.925922,144711391004.6885,12409553.238023475,-28539682673.734447,144276270050.07996,43847178.15052219,-30008.018368260324,-6493.276450914127,-68.03743670484195,2.5629725118819035e+20,-4.865354097164361e+20,-9.100592223349978e+18,-6.631465053889207e+31
[108000.],-28426386492.133118,144473387593.3238,9883214.021702014,-29617387072.48448,144037826850.5905,41317985.11738906,-29880.766341456543,-6727.8533505109535,-72.22042422729454,2.6306199945161838e+20,-4.711423444288522e+20,-7.9680670208251e+18,-6.632795414078127e+31
[144000.],-29499757262.139324,144227075949.53793,7216439.075119053,-30690453976.033524,143791075418.67993,38648356.35399444,-29750.472315659892,-6954.822730553859,-75.83475277625148,2.6871506202231656e+20,-4.5548279810404916e+20,-6.779470233129594e+18,-6.634166041632629e+31
[180000.],-30568390867.064377,143972732168.2841,4430184.454909955,-31758783714.501415,143536291849.3014,35859247.91697367,-29617.684345431284,-7174.064575050896,-78.85379641893356,2.7324114739638403e+20,-4.3959947527539275e+20,-5.538184404365726e+18,-6.635568556562959e+31
[216000.],-31632207521.481976,143710636291.4352,1546335.7396790446,-32822296502.461853,143273756184.3278,32972545.3849311,-29482.959648000542,-7385.479592538184,-81.25252116184483,2.7661800669805098e+20,-4.235346747086259e+20,-4.2473546502815104e+18,-6.636994290409849e+31
[252000.],-32691147717.63158,143441071558.22345,-1412347.7072328404,-33880932832.154297,143003751662.9913,30011008.121207543,-29346.86817162161,-7588.9896164038,-83.00741320601217,2.7881585118561944e+20,-4.073327759236273e+20,-2.91007622261389e+18,-6.638434284660103e+31
[288000.],-33745172750.91955,143164323618.65152,-4422287.644512264,-34934653998.98511,142726563935.29465,26998214.36711645,-29209.996337837478,-7784.5392806855625,-84.09650735139238,2.79797235584214e+20,-3.910429542287038e+20,-1.529615650203189e+18,-6.639879288647557e+31
[324000.],-34794265379.6615,142880679662.05872,-7459144.9269316485,-35983442761.26989,142442480190.57712,23958503.267885406,-29072.950712267757,-7972.099073461106,-84.49953167390466,2.7951747957829163e+20,-3.747220818196783e+20,-1.0966399805974522e+17,-6.641319758718232e+31
[360000.],-35838430611.50951,142590427409.76743,-10497885.009147933,-37027304126.660736,142151788150.1611,20916909.36885746,-28936.361320003733,-8151.6698449485,-84.19818362387211,2.7792571221182244e+20,-3.5843775382990494e+20,1.345380406671729e+18,-6.642745860711783e+31
[396000.],-36877696598.0086,142293853918.57596,-13512855.958318846,-38066266246.70267,141854774870.8449,17899084.602874875,-28800.88427768661,-8323.288810976934,-83.17655092554551,2.7496663332297877e+20,-3.422713499205252e+20,2.8301045168023235e+18,-6.644147478087358e+31
[432000.],-37912115606.07837,141991244141.2913,-16477884.386186898,-39100381388.31528,141551725305.43552,14931202.358195167,-28667.2033672956,-8487.03703965679,-81.42168761202839,2.7058308841792612e+20,-3.2632100344060976e+20,4.337756261194404e+18,-6.645514228284373e+31
[468000.],-38941765020.88442,141682879192.19626,-19366395.002077438,-40129726936.66417,141242920568.21576,12039837.925492957,-28536.030131263447,-8643.048334943656,-78.92435065705031,2.6471954349856797e+20,-3.1070430200741396e+20,5.859915598259057e+18,-6.646835490131172e+31
[504000.],-39966748318.7341,141369034270.16272,-22151559.562193077,-41154406368.05669,140928635858.0575,9251819.548565663,-28408.10203214289,-8791.519331182124,-75.67989539614638,2.5732651843884315e+20,-2.9556048816726416e+20,7.386178572481989e+18,-6.648100445258535e+31
[540000.],-40987195931.80158,141049976201.02206,-24806480.752069607,-42174550114.66701,140609138000.7921,6594044.541877467,-28284.17820298928,-8932.720485386764,-71.68931776835674,2.483659855172351e+20,-2.8105187196830332e+20,8.903878319493803e+18,-6.649298136490525e+31
[576000.],-42003265909.58523,140725960574.77432,-27304415.87783678,-43190316225.993484,140284682586.41965,4093255.59929863,-28165.032330007205,-9067.007500181391,-66.9604180642931,2.378176585755331e+20,-2.6736411765235565e+20,1.0397873536355404e+19,-6.65041754601057e+31
[612000.],-43015144266.457596,140397228473.11826,-29619044.043548066,-44201890716.40869,139955510696.63885,1775773.6167756803,-28051.442271840402,-9194.832536446873,-61.50904442846284,2.2568598564318075e+20,-2.5470503688580324e+20,1.1850440791402297e+19,-6.65144769566784e+31
[648000.],-44023044892.46936,140064002809.11374,-31724778.655064132,-45209487475.963295,139621845244.5096,-332814.811552044,-27944.176145184338,-9316.754394327916,-55.36035551141623,2.1200751644606874e+20,-2.4330152690535963e+20,1.3241310781747722e+19,-6.652377771031283e+31
[684000.],-45027208898.19153,139726484333.41702,-33597124.55252494,-46213347615.2283,139283886980.68817,-2208014.5258245207,-27843.97480610779,-9433.446676079458,-48.55002186105687,1.9685815630147394e+20,-2.3339435100258986e+20,1.4547888498022908e+19,-6.653197269663654e+31
[720000.],-46027903266.61676,139384847399.39703,-35213075.838697344,-47213738117.19637,138941810258.5435,-3826819.6288085915,-27751.53093518624,-9545.702824215301,-41.125267244892726,1.8035965936087938e+20,-2.2523058616030095e+20,1.5745691354527234e+19,-6.653896172554298e+31
