Astro: uranus,  mass:  8.6813e+25 
t/s  ||    (x,y,z) position/m  ||  (x,y,z) pos_com/m   ||    (x,y,z) velocity/ms^-1    ||    (x,y,z) force/N
[36000.],1835520902643.401,2289033775725.5933,-15295624851.49955,1834329294330.1353,2288599094559.1094,-15264184372.770239,-5372.176086457554,3953.9348847342303,84.23838265579201,-8.386229346493264e+20,-1.0463261420171301e+21,6.973210786651831e+18,-3.933078983985833e+33
[72000.],1835327498044.7336,2289176109571.145,-15292592217.676895,1834136193597.925,2288740988616.5366,-15261154592.764397,-5372.5238338696845,3953.5009738942717,84.2412740658301,-8.385435135526923e+20,-1.0464017320187341e+21,6.971899182219247e+18,-3.933092566752e+33
[108000.],1835134080927.753,2289318427795.3423,-15289559479.77327,1833943080347.4016,2288882867052.609,-15258124708.677582,-5372.87154834562,3953.0670317094737,84.24416493195235,-8.384640852340262e+20,-1.0464773164387486e+21,6.970587510613399e+18,-3.933106149857486e+33
[144000.],1834940651293.6436,2289460730397.055,-15286526637.808256,1833749954579.7493,2289024729866.1973,-15255094720.52938,-5373.219229882373,3952.633058182151,84.2470552541309,-8.383846496929153e+20,-1.0465528952765198e+21,6.969275771838404e+18,-3.9331197333019557e+33
[180000.],1834747209143.5918,2289603017375.1587,-15283493691.801435,1833556816296.1548,2289166577056.176,-15252064628.339373,-5373.566878476949,3952.1990533146195,84.24994503233782,-8.383052069289409e+20,-1.0466284685313912e+21,6.967963965897991e+18,-3.9331333170850706e+33
[216000.],1834553754478.784,2289745288728.522,-15280460641.77239,1833363665497.804,2289308408621.4146,-15249034432.127138,-5373.914494126345,3951.765017109191,84.25283426654532,-8.38225756941683e+20,-1.0467040362027094e+21,6.966652092795553e+18,-3.9331469012064907e+33
[252000.],1834360287300.406,2289887544456.0176,-15277427487.740705,1833170502185.8833,2289450224560.7856,-15246004131.912266,-5374.262076827573,3951.3309495681824,84.25572295672548,-8.381462997307194e+20,-1.0467795982898208e+21,6.965340152534105e+18,-3.933160485665876e+33
[288000.],1834166807609.644,2290029784556.5186,-15274394229.72597,1832977326361.5784,2289592024873.1616,-15242973727.71434,-5374.6096265776305,3950.8968506939123,84.25861110285058,-8.380668352956215e+20,-1.0468551547920737e+21,6.964028145116293e+18,-3.933174070462882e+33
[324000.],1833973315407.684,2290172009028.8955,-15271360867.747763,1832784138026.0757,2289733809557.414,-15239943219.552946,-5374.957143373526,3950.4627204886947,84.26149870489267,-8.379873636359618e+20,-1.0469307057088178e+21,6.962716070544394e+18,-3.9331876555971685e+33
[360000.],1833779810695.7126,2290314217872.0215,-15268327401.82568,1832590937180.5615,2289875578612.415,-15236912607.447674,-5375.304627212265,3950.0285589548457,84.26438576282393,-8.379078847513082e+20,-1.047006251039404e+21,6.961403928820314e+18,-3.933201241068389e+33
