Astro: venus,  mass:  4.8685e+24 
t/s  ||    (x,y,z) position/m  ||  (x,y,z) pos_com/m   ||    (x,y,z) velocity/ms^-1    ||    (x,y,z) force/N
[36000.],-106864911031.32867,-12714101697.593306,5991584333.385508,-108056519344.59436,-13148782864.077124,6023024812.114818,3921.5066704388582,-34931.43704897084,-706.0024722503447,5.5142126399241906e+22,6.560981314006717e+21,-3.091629680013604e+21,-5.995496378547232e+33
[72000.],-106716401096.35617,-13970731729.20546,5965757353.763753,-107907705543.16469,-14405852683.814001,5997194978.676251,4328.935490517794,-34880.52915245835,-728.8122246326975,5.505479441677408e+22,7.207991282293658e+21,-3.0777049104801496e+21,-5.995107504710154e+33
[108000.],-106553235682.35162,-15225443013.217825,5939111095.012539,-107744236262.70299,-15661003755.95109,5970545866.108226,4735.690381043003,-34824.841535664724,-751.5174489423338,5.495985028713809e+22,7.853747878612703e+21,-3.0633581255084e+21,-5.994715578177153e+33
[144000.],-106375440063.11942,-16478063650.51456,5911649376.209671,-107566136777.01361,-16914064181.37255,5943081293.488546,5141.7151252817785,-34764.38380235436,-774.1150333105444,5.485731342189777e+22,8.498160350145015e+21,-3.0485916916734865e+21,-5.994320654356547e+33
[180000.],-106183041533.63428,-17728422099.779877,5883376128.142643,-107373434381.07132,-18164862418.76259,5914805191.604707,5546.953654106555,-34699.16622611727,-796.6018835858365,5.474720433151383e+22,9.141138282754872e+21,-3.0334080343224956e+21,-5.993922789039923e+33
[216000.],-105976069404.58144,-18976347201.566055,5854295392.663032,-107166158385.56131,-19413227308.67349,5885721602.308284,5951.350054096567,-34629.199747813924,-818.9749237664349,5.462954461879429e+22,9.782591614727357e+21,-3.017809637008746e+21,-5.993522038393243e+33
[252000.],-105754554996.60626,-20221668202.267696,5824411322.025371,-106944340111.12898,-20658988097.499855,5855834677.853811,6354.848575590408,-34554.49597291881,-841.2310964285682,5.450435697216491e+22,1.0422430650365666e+22,-3.0017990409175627e+21,-5.993118458947881e+33
[288000.],-105518531634.27458,-21464214777.99851,5793728178.210706,-106708012882.34013,-21901974461.35539,5825148680.222335,6757.393640688185,-34475.06716876417,-863.3673631504789,5.437166515876371e+22,1.106056607344593e+22,-2.98537884428381e+21,-5.992712107591658e+33
[324000.],-105268034639.74605,-22703817058.367085,5762250332.234957,-106457212021.35445,-23142016529.84869,5793667980.429773,7158.929851201962,-34390.92626168464,-885.3807049320975,5.423149401736175e+22,1.169690896052683e+22,-2.968551701801279e+21,-5.992303041559792e+33
[360000.],-105003101326.16225,-23940305650.148132,5729982263.442242,-106191974841.31348,-24378944909.75446,5761397057.820247,7559.401996553214,-34302.08683406409,-907.2681226103151,5.408386945111416e+22,1.2331370794112185e+22,-2.9513203240241725e+21,-5.991891318425848e+33
[396000.],-104723770990.75133,-25173511660.84567,5696928558.783342,-105912340639.4454,-25612590708.57672,5728340499.344536,7958.755061616079,-34208.563121285726,-929.0266372698095,5.3928818420143895e+22,1.2963863475664164e+22,-2.933687476760857e+21,-5.991476996092623e+33
[432000.],-104430084907.6514,-26403266722.144623,5663093912.07945,-105618350689.8883,-26842785558.000397,5694502998.823832,8356.934234505157,-34110.37000858642,-950.6532906493519,5.3766368933962395e+22,1.359429933846517e+22,-2.9156559804600287e+21,-5.991060132783034e+33
[468000.],-104122086320.45448,-27629403013.247555,5628483123.271385,-105310048236.23422,-28069361637.22805,5659889356.198956,8753.884914306665,-34007.523027816474,-972.1451455435532,5.3596550043729295e+22,1.4222591160326493e+22,-2.897228709589518e+21,-5.990640787030939e+33
[504000.],-103799820434.47328,-28851753284.09303,5593101097.654412,-104987478483.79587,-29292151696.19825,5624504476.765171,9149.552718751747,-33900.03835410618,-993.4992861999878,5.341939183435571e+22,1.4848652176141918e+22,-2.8784085920078496e+21,-5.990219017671971e+33
[540000.],-103463334408.73279,-30070150878.452274,5556952845.09886,-104650688591.5982,-30510989078.682217,5588353370.392807,9543.883491830908,-33787.93280243994,-1014.7128187116432,5.323492541645336e+22,1.5472396090284542e+22,-2.8591986083287505e+21,-5.989794883834322e+33
[576000.],-103112677347.68866,-31284429756.90095,5520043479.256689,-104299727664.09692,-31725707745.25562,5551441150.733825,9936.823311348267,-33671.22382413937,-1035.7828714046475,5.304318291813389e+22,1.6093737088845313e+22,-2.839601791278791e+21,-5.98936844492953e+33
[612000.],-102747900292.67494,-32494424519.662613,5482378216.754201,-103934646742.62604,-32936142296.142002,5513773034.414525,10328.31849641465,-33549.929503256506,-1056.706595221222,5.284419747666118e+22,1.6712589851711653e+22,-2.819621225048302e+21,-5.988939760643256e+33
[648000.],-102369056213.08302,-33699970429.320747,5443962376.371026,-103555498796.57697,-34142127993.924862,5475354340.214539,10718.315614878451,-33424.068552878285,-1077.4811640978044,5.263800322996066e+22,1.732886956448493e+22,-2.7992600446357503e+21,-5.988508890926035e+33
[684000.],-101976199997.27435,-34900903433.39622,5404801378.205604,-103162338714.31113,-35343500786.12505,5436190488.232304,11106.76149069318,-33293.66031134342,-1098.1037753383087,5.24246353079886e+22,1.7942491930235316e+22,-2.7785214351857303e+21,-5.988075895984063e+33
[720000.],-101569388443.22888,-36097060186.78695,5364900742.82731,-102755223293.8085,-36540097327.64051,5396286999.037198,11493.603211220645,-33158.724738373196,-1118.5716499824605,5.220412982396585e+22,1.8553373181093108e+22,-2.7574086313208054e+21,-5.987640836269944e+33
