Astro: mercury,  mass:  3.302e+23 
t/s  ||    (x,y,z) position/m  ||  (x,y,z) pos_com/m   ||    (x,y,z) velocity/ms^-1    ||    (x,y,z) force/N
[36000.],-42449394761.08318,28610798230.792217,6231736449.277315,-43641003074.34887,28176117064.3084,6263176928.006625,-37187.945091267095,-38369.61147045298,275.4246027151466,1.3564639784341323e+22,-9.142460312030588e+21,-1.9913379285845224e+21,-8.498600133502655e+32
[72000.],-43761440913.572914,27211951170.0834,6237767401.936166,-44952745360.38144,26776830215.474857,6269205026.848664,-35700.78552736368,-39332.69006697996,60.3122089793372,1.371154395758583e+22,-8.52610535346474e+21,-1.9544433795726471e+21,-8.443066886495901e+32
[108000.],-45019680130.70572,25779637039.31703,6236127989.651441,-46210680711.05708,25344076296.583767,6267562760.747128,-34199.21016081417,-40229.06532922147,-150.67139171115474,1.3829353227344192e+22,-7.919037920604929e+21,-1.9156391124919483e+21,-8.387553633333565e+32
[144000.],-46223649504.462814,24316238124.142414,6226970435.597407,-47414346218.35702,23880237593.284424,6258402352.876283,-32686.303780856644,-41059.81703414285,-357.33149028524844,1.3919670001442012e+22,-7.32246194589021e+21,-1.8751704934096172e+21,-8.332152969408109e+32
[180000.],-47372994031.76792,22824095587.489204,6210453499.842436,-48563386879.20496,22387655268.506493,6241882563.3045,-31164.976305136915,-41826.14684456962,-559.4993782531724,1.3984097374810248e+22,-6.737411107895507e+21,-1.833269038061325e+21,-8.276950896539793e+32
[216000.],-48467460326.92839,21305505409.073868,6186741570.80053,-49657549307.908264,20868625301.966434,6218167780.445783,-29637.963467056652,-42529.36031570859,-757.0308142107282,1.402422547828035e+22,-6.164759362401225e+21,-1.790152020317764e+21,-8.222026977500312e+32
[252000.],-49506890384.32329,19762714951.64238,6156003812.509392,-50696675498.846,19325395056.41022,6187427168.337832,-28107.82888354477,-43170.85007905985,-949.8044599432211,1.4041619789630772e+22,-5.60523196578851e+21,-1.746022300870391e+21,-8.167454526874795e+32
[288000.],-50491215437.253525,18197920110.763943,6118413368.417348,-51680696685.31908,17760160427.407063,6149833870.428977,-26576.967295370472,-43752.080243522425,-1137.7203084495416,1.4037811292352985e+22,-5.059416742587398e+21,-1.7010683453500676e+21,-8.113300831195619e+32
[324000.],-51420449951.62264,16613263004.019777,6074146621.617583,-52609627333.23103,16175063532.538174,6105564269.8124,-25047.60878562377,-44274.57202850182,-1320.6981229253008,1.4014288350070117e+22,-4.527775386575088e+21,-1.6554644025542092e+21,-8.059627391905118e+32
[360000.],-52294685786.3868,15010830155.288132,6023382510.838979,-53483559301.53803,14572190895.681805,6054797305.216984,-23521.8237970378,-44739.89062283048,-1498.6759026477794,1.3972490153620234e+22,-4.01065462049039e+21,-1.609370815371209e+21,-8.006490185349062e+32
[396000.],-53114086546.54147,13392651130.370611,5966301900.98141,-54302656195.23554,12953572082.63956,5997713841.5426035,-22001.52878475424,-45149.63324607034,-1671.608388835503,1.3913801592458524e+22,-3.5082970725247494e+21,-1.5629344392039802e+21,-7.953939934648136e+32
[432000.],-53878882148.82253,11760697581.30691,5903087006.560618,-55067147931.05944,11321178745.451136,5934496093.305,-20488.492357386443,-45505.4183749711,-1839.4656209370305,1.3839549401229313e+22,-3.020851757840786e+21,-1.5162891450798317e+21,-7.902022388925854e+32
[468000.],-54589363615.29327,10116882658.266518,5833920866.09459,-55777325531.07301,9676924034.28602,5865327099.022161,-18984.34177537142,-45808.87608716785,-2002.2315514498812,1.3750999435171288e+22,-2.5483840802274977e+21,-1.4695563870867418e+21,-7.850778605975593e+32
[504000.],-55245878105.55689,8463060749.781782,5758986865.210112,-56433536154.87948,8022662337.676562,5790390244.32087,-17490.56969127325,-46061.639466260734,-2159.902725284118,1.3649354933602106e+22,-2.0908852925615136e+21,-1.4228458162135302e+21,-7.800245235018433e+32
[540000.],-55848824194.45323,6801027514.20426,5678468306.065295,-57036178377.31866,6360189313.974317,5709868831.359242,-16008.54103164611,-46265.337006868955,-2312.4870278606336,1.3535755638340133e+22,-1.648281375063902e+21,-1.3762559250301992e+21,-7.750454796731237e+32
[576000.],-56398647398.73976,5132520167.545737,5592548020.562083,-57585697715.148026,4691242179.191071,5623945692.039219,-14539.499934100517,-46421.585954746195,-2460.0025045604025,1.3411277642923667e+22,-1.2204413075714343e+21,-1.3298747098784698e+21,-7.701435958207776e+32
[612000.],-56895835953.386086,3459217995.2392297,5501408024.753325,-58082582403.33718,3017500218.75984,5532802842.41365,-13084.576666218421,-46531.98651525939,-2602.476252802412,1.3276933858348207e+22,-8.07184726392281e+20,-1.283780339319735e+21,-7.653213800952059e+32
[648000.],-57340916835.687294,1782743057.7667475,5405229211.8239,-58527359419.18123,1340585493.1626346,5436621175.667413,-11644.794464863904,-46598.116863165735,-2739.9433869064537,1.31336749913264e+22,-4.0828896804089384e+20,-1.2380418194891284e+21,-7.605810080394047e+32
[684000.],-57734452033.38721,104661062.50415969,5304191081.036877,-58920590750.42398,-337936290.22467643,5335580191.063577,-10221.076245208797,-46621.52888740376,-2872.446074972637,1.298239094143252e+22,-2.349551151756571e+19,-1.1927196487201768e+21,-7.559243475762878e+32
[720000.],-58077035051.354576,-1573517623.5083027,5198471500.077373,-59262869901.93419,-2016554764.361862,5229857756.287261,-8814.25113844464,-46603.744606302076,-3000.032646262048,1.2823912533659203e+22,3.474841619064607e+20,-1.1478664553331566e+21,-7.513529829455042e+32
