earth,  5.97219e+24 
-25884623751.632137,144806407687.00073,-8171181.491542402,-27076232064.897823,144371726520.5169,23269297.237767972,-29804.406499148095,-5343.3484570512355,1.2604139245303516,6.278531926689561e+21,-3.5997107859853106e+22,1.212747277780187e+19,-5.389543094064806e+33
-26956891752.43005,144610142548.97916,-8124528.72948704,-28148196199.238575,144175021594.3706,23313096.183011673,-29765.768945133575,-5560.235608884208,1.3303025107809239,6.541078274740721e+21,-3.5963232481452564e+22,1.1050516292998566e+19,-5.389559146909784e+33
-28027740288.18025,144406073211.60107,-8075479.013902402,-29218740868.531612,143970512468.8678,23359292.081784643,-29725.546586697325,-5776.9132868644865,1.3935165826289222,6.804349880560048e+21,-3.5927599572051493e+22,9.913608572622617e+18,-5.389569892996693e+33
-29097112227.54669,144194207408.17,-8024278.992903982,-30287808941.44089,143758206877.312,23407638.2859714,-29683.735077259207,-5993.370767451905,1.4497063624416893,7.068339261228231e+21,-3.5890166875765814e+22,8.720524702365645e+18,-5.389575415460843e+33
-30164950283.324387,143974553262.50372,-7971187.512185116,-31355343130.761425,143538112943.52103,23457875.9498786,-29640.330097865244,-6209.597081805285,1.4985435837316536,7.333044927757185e+21,-3.5850894916045525e+22,7.474649093535054e+18,-5.389575799765992e+33
-31231197012.74475,143747119297.54068,-7916474.877840141,-32421285993.72463,143310239190.43326,23509734.76741191,-29595.32731788375,-6425.5810259617,1.5397195799312036,7.59847237516732e+21,-3.580974476901595e+22,6.179128478780049e+18,-5.389571133612611e+33
-32295794816.27262,143511914443.83145,-7860422.170146959,-33485579930.795338,143074594548.5993,23562933.658293426,-29548.72235092976,-6641.311156793841,1.5729443999271566,7.864634666704772e+21,-3.5766675576281016e+22,4.837059440423945e+18,-5.389561506864482e+33
-33358685934.76928,143268948048.45374,-7803320.567630885,-34548167182.83483,142831188365.09686,23617181.44399783,-29500.510708638776,-6856.775772268217,1.5979471557660394,8.131552552261187e+21,-3.572164182924119e+22,3.4517095207966607e+18,-5.389547011478043e+33
-34419812444.99707,143018229884.93994,-7745470.63345298,-35608989826.60546,142580030413.45834,23672177.561364077,-29450.68775530954,-7071.962874747775,1.6144778009687744,8.399254048665822e+21,-3.5674590467379345e+22,2.0267704564250496e+18,-5.389527741417367e+33
-35479116253.5581,142759770164.84607,-7687181.509216269,-36667989768.70933,142321130905.23975,23727612.86878912,-29399.248666909116,-7286.860116390173,1.6223105259040758,8.667773397105065e+21,-3.56254578516359e+22,5.666408858161661e+17,-5.38950379253598e+33
-36536539089.49519,142493579551.61664,-7628769.95492435,-37725108738.18926,142054500503.8856,23783170.606269374,-29346.188398475413,-7501.454726141659,1.6212489349053907,8.937149303545491e+21,-3.5574166702292713e+22,-9.232662032075603e+17,-5.389475262405382e+33
-37592022495.938385,142219669177.40817,-7570559.168514651,-38780288278.17529,141780150341.5524,23838527.575867414,-29291.501664530937,-7715.73341847663,1.6111331323478961,9.207422365758539e+21,-3.552062312934901e+22,-2.4361991715475026e+18,-5.389442250069197e+33
-38645507821.35712,141938050663.5123,-7512877.314808321,-39833469737.13686,141498092039.5318,23893355.612762075,-29235.182937680715,-7929.68228494533,1.5918487849459932,9.478631600432968e+21,-3.5464713931552167e+22,-3.963738774533935e+18,-5.389404855701421e+33
-39696936211.17275,141648736144.96088,-7456055.692806848,-40884594260.49534,141208337732.85565,23947323.417951893,-29177.226471014696,-8143.286670817913,1.5633381380921514,9.750810011779776e+21,-3.5406304395438844e+22,-5.495482199798596e+18,-5.389363180147597e+33
-40746248600.69307,141351738299.78522,-7400426.47319816,-41933602783.558495,140910900099.55527,24000098.820748914,-29117.62635014528,-8356.531040680036,1.5256128390242374,1.0023979195018206e+22,-3.5345236882571775e+22,-7.018764041780108e+18,-5.389317324329428e+33
-41793385710.538765,141047070383.22998,-7346319.946068975,-42980436026.94702,140605792394.8753,24051351.531066433,-29056.376580521195,-8569.39883872826,1.4787682553958437,1.0298143049265076e+22,-3.5281330542780497e+22,-8.518444728687157e+18,-5.389267388496466e+33
-42838288045.92274,140734746266.97742,-7294061.233563908,-44025034495.87383,140293028490.49802,24100756.42675984,-28993.471214885572,-8781.872351653168,1.4229987755530809,1.0573280786975635e+22,-3.5214382520999457e+22,-9.976802775786525e+18,-5.389213471313417e+33
-43880895901.293396,140414780483.11356,-7243966.444831196,-45067338484.78733,139972622918.50943,24147997.39868089,-28928.90452420502,-8993.932584218053,1.3586133448377624,1.0849339568499135e+22,-3.514417101933649e+22,-1.1373570973200386e+19,-5.389155668778951e+33
-44921149371.93164,140087188272.16638,-7196338.281828684,-46107288088.968414,139644590919.43753,24192771.744871736,-28862.67121293826,-9205.559159673561,1.2860502485113083,1.1126227250223746e+22,-3.5070460516948565e+22,-1.2686156468640694e+19,-5.389094072981241e+33
-45958988374.06344,139751985634.07993,-7151461.144365755,-47144823224.64305,139308948493.22638,24234795.065523,-28794.76667608407,-9416.730258625443,1.2058899254969675,1.140380589331951e+22,-3.499300932290285e+22,-1.3890078805058236e+19,-5.389028770706975e+33
-46994352674.88288,139409189380.48602,-7109595.829818553,-48179883659.00533,138965712451.50775,24273806.56325854,-28725.187291139537,-9627.422610452837,1.1188644277377227,1.1681886807439863e+22,-3.4911579433501614e+22,-1.4959646760283212e+19,-5.388959841933921e+33
-48027181933.54611,139058817186.13953,-7070973.974397263,-49212409051.2114,138614900469.03653,24309574.60186816,-28653.93073321062,-9837.61155040607,1.0258620742342879,1.1960227962706475e+22,-3.482594839104563e+22,-1.5868873652994083e+19,-5.388887358250894e+33
